"phone_number","attempted","attempts","disposition","support_hopper","environment_thermometer"
"4536328142",TRUE,1,"no answer",,
"6971545634",TRUE,1,"no answer",,
"6921373486",TRUE,1,"survey complete","somewhat support","3"
"7417291563",TRUE,1,"no answer",,
"7316296815",TRUE,1,"no answer",,
"3696517326",TRUE,1,"no answer",,
"5798273214",TRUE,1,"no answer",,
"9583951953",TRUE,1,"survey complete","strongly oppose","8"
"4951844376",TRUE,1,"no answer",,
"9372639526",TRUE,1,"no answer",,
"2173458632",TRUE,2,"no answer",,
"7937562571",TRUE,1,"no answer",,
"7943697532",TRUE,1,"survey complete","somewhat support","7"
"4569371326",TRUE,2,"no answer",,
"9436355279",TRUE,1,"no answer",,
"4397256385",TRUE,1,"no answer",,
"9658173429",TRUE,1,"no answer",,
"8979847215",TRUE,2,"survey complete","somewhat oppose","9"
"8426912957",TRUE,1,"no answer",,
"1364291768",TRUE,1,"no answer",,
"1768269274",TRUE,1,"no answer",,
"8497641384",TRUE,1,"no answer",,
"5913214385",TRUE,1,"no answer",,
"3527188235",TRUE,1,"no answer",,
"2417254139",TRUE,1,"no answer",,
"1382613519",TRUE,2,"survey complete","neither support nor oppose","6"
"8957837823",TRUE,2,"survey complete","neither support nor oppose","9"
"3711877496",TRUE,1,"no answer",,
"9725317185",TRUE,2,"survey complete","somewhat oppose","10"
"2482851748",TRUE,1,"no answer",,
"7424288917",TRUE,1,"no answer",,
"4716853576",TRUE,1,"no answer",,
"9384539346",TRUE,1,"survey complete","refused","10"
"7642798136",TRUE,1,"survey complete","somewhat support","10"
"2986896429",TRUE,1,"no answer",,
"8698597419",TRUE,2,"no answer",,
"8265985871",TRUE,1,"survey complete","somewhat support","10"
"7413852561",TRUE,1,"survey complete","strong support","10"
"2158596415",TRUE,1,"no answer",,
"5241688125",TRUE,1,"no answer",,
"8149826892",TRUE,1,"no answer",,
"2874387196",TRUE,1,"no answer",,
"1879736941",TRUE,1,"no answer",,
"2768173179",TRUE,2,"survey complete","somewhat oppose","3"
"1484711928",TRUE,1,"no answer",,
"7286171852",TRUE,1,"no answer",,
"4766823569",TRUE,2,"survey complete","somewhat support","9"
"2395269453",TRUE,2,"no answer",,
"8747964816",TRUE,2,"no answer",,
"8346414615",TRUE,1,"no answer",,
"7894915768",TRUE,1,"no answer",,
"5683546931",TRUE,1,"no answer",,
"7182312576",TRUE,1,"no answer",,
"4272684278",TRUE,1,"survey complete","somewhat support","10"
"1797645824",TRUE,1,"no answer",,
"4586285718",TRUE,1,"no answer",,
"3654628462",TRUE,1,"no answer",,
"4324599468",TRUE,1,"no answer",,
"5175141679",TRUE,1,"no answer",,
"1596544186",TRUE,2,"no answer",,
"1897931652",TRUE,1,"survey complete","somewhat support","1"
"1365129341",TRUE,1,"no answer",,
"5737355761",TRUE,1,"survey complete","somewhat support","10"
"6439864867",TRUE,1,"no answer",,
"7439824687",TRUE,1,"no answer",,
"5197935846",TRUE,2,"no answer",,
"1347852463",TRUE,1,"no answer",,
"8433561462",TRUE,1,"no answer",,
"1734695387",TRUE,2,"no answer",,
"4587952136",TRUE,1,"no answer",,
"7195712159",TRUE,2,"survey complete","strongly oppose","7"
"1766752647",TRUE,2,"no answer",,
"7866347456",TRUE,2,"no answer",,
"8253145279",TRUE,2,"no answer",,
"3123415349",TRUE,1,"no answer",,
"9436739685",TRUE,1,"no answer",,
"7314173526",TRUE,1,"no answer",,
"2982519186",TRUE,1,"no answer",,
"8978123169",TRUE,1,"no answer",,
"2761393456",TRUE,1,"no answer",,
"9653959376",TRUE,1,"no answer",,
"6385968432",TRUE,1,"no answer",,
"3178718461",TRUE,1,"no answer",,
"6187895146",TRUE,1,"no answer",,
"5768693245",TRUE,1,"no answer",,
"1457847963",TRUE,1,"no answer",,
"2514697296",TRUE,1,"no answer",,
"5811749164",TRUE,1,"survey complete","somewhat oppose","5"
"6578694952",TRUE,1,"no answer",,
"1538142167",TRUE,2,"no answer",,
"5195382379",TRUE,2,"no answer",,
"6313964785",TRUE,2,"no answer",,
"4897326491",TRUE,1,"survey complete","neither support nor oppose","9"
"6182688143",TRUE,2,"survey complete","strong support","10"
"1622437528",TRUE,1,"survey complete","somewhat support","8"
"2395962813",TRUE,2,"no answer",,
"4926937639",TRUE,1,"no answer",,
"8753128937",TRUE,1,"no answer",,
"3297391758",TRUE,1,"no answer",,
"6476578274",TRUE,2,"no answer",,
"6527821348",TRUE,1,"survey complete","somewhat oppose","10"
"5795731496",TRUE,1,"survey complete","neither support nor oppose","10"
"2742399136",TRUE,1,"no answer",,
"8634751753",TRUE,2,"no answer",,
"2389321689",TRUE,1,"no answer",,
"3722147135",TRUE,1,"no answer",,
"9234515239",TRUE,1,"no answer",,
"2368735934",TRUE,1,"no answer",,
"2941729185",TRUE,1,"no answer",,
"8134587295",TRUE,1,"no answer",,
"9525684819",TRUE,1,"no answer",,
"5972742347",TRUE,1,"no answer",,
"8563519281",TRUE,1,"no answer",,
"8563976742",TRUE,1,"no answer",,
"1751544689",TRUE,2,"no answer",,
"1649812168",TRUE,2,"no answer",,
"1635418421",TRUE,1,"no answer",,
"6815312516",TRUE,1,"no answer",,
"7155412895",TRUE,1,"no answer",,
"4955617436",TRUE,1,"no answer",,
"5146845218",TRUE,1,"no answer",,
"5198929485",TRUE,1,"no answer",,
"3623682745",TRUE,1,"no answer",,
"8128535469",TRUE,1,"survey complete","somewhat oppose","8"
"9434751894",TRUE,1,"no answer",,
"8944351927",TRUE,1,"no answer",,
"7628196432",TRUE,1,"no answer",,
"9329725496",TRUE,1,"no answer",,
"4622735286",TRUE,2,"no answer",,
"2963596412",TRUE,1,"no answer",,
"8616382179",TRUE,1,"no answer",,
"6516735278",TRUE,1,"no answer",,
"6148161245",TRUE,1,"no answer",,
"3512812756",TRUE,1,"no answer",,
"2788633768",TRUE,1,"no answer",,
"4878517193",TRUE,1,"no answer",,
